title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Condo for sale,Denver,CO,80218,383168,1850,,329000,,952,2,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1029-E-8th-Ave-APT-501-Denver-CO-80218/13330931_zpid/,17.25981981981982
House for sale,Denver,CO,80205,843984,2963,,925000,,1908,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/2015-N-Ogden-St-Denver-CO-80205/13321086_zpid/,23.736753290583867
House for sale,Denver,CO,80218,1266632,4433,,1495000,,3251,1,"4 beds, 5.0 baths",https://www.zillow.com/homedetails/821-N-Marion-St-Denver-CO-80218/13331004_zpid/,23.810662455823746
Condo for sale,Denver,CO,80218,630719,2600,,675000,,1689,1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/836-E-17th-Ave-APT-4F-Denver-CO-80218/13321420_zpid/,20.215352564102563
Condo for sale,Denver,CO,80202,588842,2600,,550000,,1334,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/1020-15th-St-APT-38C-Denver-CO-80202/13319525_zpid/,18.873141025641026
Condo for sale,Denver,CO,80203,259030,1498,,275000,,733,1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1137-N-Sherman-St-APT-1-Denver-CO-80203/13332527_zpid/,14.409768580329327
Condo for sale,Denver,CO,80203,506612,2250,,539900,,1311,1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1100-N-Grant-St-UNIT-303-Denver-CO-80203/82592090_zpid/,18.763407407407406
Condo for sale,Denver,CO,80202,464521,2400,,575000,,1041,1,"1 beds, 2.0 baths",https://www.zillow.com/homedetails/1610-Little-Raven-St-UNIT-202-Denver-CO-80202/58685111_zpid/,16.129201388888887
House for sale,Denver,CO,80205,843984,2963,,925000,,1908,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/2015-N-Ogden-St-Denver-CO-80205/13321086_zpid/,23.736753290583867
Condo for sale,Denver,CO,80218,630719,2600,,675000,,1689,1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/836-E-17th-Ave-APT-4F-Denver-CO-80218/13321420_zpid/,20.215352564102563
Condo for sale,Denver,CO,80202,588842,2600,,550000,,1334,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/1020-15th-St-APT-38C-Denver-CO-80202/13319525_zpid/,18.873141025641026
Condo for sale,Denver,CO,80203,259030,1498,,275000,,733,1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1137-N-Sherman-St-APT-1-Denver-CO-80203/13332527_zpid/,14.409768580329327
House for sale,Denver,CO,80211,6366984,1750,,6500000,,7261,106,"5 beds, 6.0 baths",https://www.zillow.com/homedetails/2605-18th-St-Denver-CO-80211/251841622_zpid/,303.1897142857143
Condo for sale,Denver,CO,80202,464521,2400,,575000,,1041,1,"1 beds, 2.0 baths",https://www.zillow.com/homedetails/1610-Little-Raven-St-UNIT-202-Denver-CO-80202/58685111_zpid/,16.129201388888887
Under Contract,Denver,CO,80218,355543,1700,,349900,,988,4,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/1210-E-Colfax-Ave-SUITE-404-Denver-CO-80218/13329437_zpid/,17.42857843137255
Multi-family home for sale,Denver,CO,80205,600665,2500,,679000,,1890,1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/824-29th-St-Denver-CO-80205/13307570_zpid/,20.022166666666667
Condo for sale,Denver,CO,80218,383168,1850,,329000,,952,2,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1029-E-8th-Ave-APT-501-Denver-CO-80218/13330931_zpid/,17.25981981981982
House for sale,Denver,CO,80205,790052,2950,,680000,,1676,2,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/2127-N-Williams-St-Denver-CO-80205/13320402_zpid/,22.317853107344632
House for sale,Denver,CO,80205,843984,2963,,925000,,1908,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/2015-N-Ogden-St-Denver-CO-80205/13321086_zpid/,23.736753290583867
House for sale,Denver,CO,80218,1266632,4433,,1495000,,3251,1,"4 beds, 5.0 baths",https://www.zillow.com/homedetails/821-N-Marion-St-Denver-CO-80218/13331004_zpid/,23.810662455823746
Condo for sale,Denver,CO,80218,630719,2600,,675000,,1689,1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/836-E-17th-Ave-APT-4F-Denver-CO-80218/13321420_zpid/,20.215352564102563
Condo for sale,Denver,CO,80202,588842,2600,,550000,,1334,0,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/1020-15th-St-APT-38C-Denver-CO-80202/13319525_zpid/,18.873141025641026
