title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Condo for sale,Fairfax,VA,22030,314288,1700,,289900,,907,2,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/11399-Aristotle-Dr-11-402-Fairfax-VA-22030/65733729_zpid/,15.406274509803922
Condo for sale,Fairfax,VA,22033,205001,1450,,205000,,564,4,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/12156-Penderview-Ter-APT-1237-Fairfax-VA-22033/65732812_zpid/,11.781666666666666
Condo for sale,Fairfax,VA,22033,364277,1950,,359900,,1123,9,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/12012-Golf-Ridge-Ct-APT-101-Fairfax-VA-22033/51797420_zpid/,15.567393162393163
Condo for sale,Fairfax,VA,22033,0,1520,,279000,,876,4,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/12161-Penderview-Ter-APT-905-Fairfax-VA-22033/65732734_zpid/,15.296052631578947
House for sale,Oakton,VA,22124,1578247,5534,,1550000,,7919,47,"4 beds, 5.0 baths",https://www.zillow.com/homedetails/11133-Oakton-Rd-Oakton-VA-22124/65722418_zpid/,23.765916757017227
Condo for sale,Fairfax,VA,22033,267753,1600,,265000,,876,11,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/3914-Penderview-Dr-APT-533-Fairfax-VA-22033/65732670_zpid/,13.94546875
House for sale,Arlington,VA,22204,909044,3700,,899000,,2915,3,"4 beds, 4.0 baths",https://www.zillow.com/homedetails/1005-S-Rolfe-St-Arlington-VA-22204/12104341_zpid/,20.473963963963964
House for sale,Arlington,VA,22204,865188,2850,,865000,,3211,9,"4 beds, 2.0 baths",https://www.zillow.com/homedetails/600-S-Walter-Reed-Dr-Arlington-VA-22204/12093413_zpid/,25.297894736842107
Condo for sale,Arlington,VA,22201,742099,2850,,730000,,1231,2,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1021-N-Garfield-St-APT-210-Arlington-VA-22201/68455215_zpid/,21.69880116959064
Townhouse for sale,Arlington,VA,22204,426062,2200,,425000,,994,4,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/2700-16th-St-S-APT-651-Arlington-VA-22204/12103367_zpid/,16.138712121212123
Townhouse for sale,Washington,DC,20001,814267,3500,,799000,,1842,3,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/1512-5th-St-NW-Washington-DC-20001/409808_zpid/,19.387309523809524
Condo for sale,Washington,DC,20005,570022,2500,,549000,,800,4,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1502-13th-St-NW-APT-2-Washington-DC-20005/405941_zpid/,19.000733333333333
Condo for sale,Washington,DC,20005,690790,2950,,684900,,1031,3,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1115-12th-St-NW-APT-602-Washington-DC-20005/407427_zpid/,19.513841807909603
House for sale,Washington,DC,20001,974841,3250,,965000,,1617,5,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/940-N-St-NW-Washington-DC-20001/408245_zpid/,24.995923076923077
Condo for sale,Washington,DC,20005,775001,3500,,750000,,1059,2,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1441-Rhode-Island-Ave-NW-APT-321-Washington-DC-20005/88806850_zpid/,18.452404761904763
Condo for sale,Washington,DC,20024,295652,2700,,295000,,850,73,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1301-Delaware-Ave-SW-APT-N201-Washington-DC-20024/2102228258_zpid/,9.125061728395062
Townhouse for sale,Washington,DC,20024,663919,3200,,649000,,1649,5,"4 beds, 2.0 baths",https://www.zillow.com/homedetails/1372-4th-St-SW-Washington-DC-20024/2136034096_zpid/,17.289557291666668
Condo for sale,Washington,DC,20024,454081,2650,,439900,,1141,24,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/300-M-St-SW-N200-Washington-DC-20024/411815_zpid/,14.279276729559749
Condo for sale,Arlington,VA,22201,381449,1618,,30246,,630,34,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1758-N-Troy-St-APT-669-Arlington-VA-22201/2087108042_zpid/,19.64611660486197
House for sale,Arlington,VA,22204,859911,3200,,845000,,2398,4,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/3927-6th-St-S-Arlington-VA-22204/12091208_zpid/,22.393515625
House for sale,Arlington,VA,22204,909044,3700,,899000,,2915,3,"4 beds, 4.0 baths",https://www.zillow.com/homedetails/1005-S-Rolfe-St-Arlington-VA-22204/12104341_zpid/,20.473963963963964
House for sale,Arlington,VA,22204,865188,2850,,865000,,3211,9,"4 beds, 2.0 baths",https://www.zillow.com/homedetails/600-S-Walter-Reed-Dr-Arlington-VA-22204/12093413_zpid/,25.297894736842107
House for sale,Arlington,VA,22201,1800200,5699,,1799000,,3032,4,"5 beds, 4.0 baths",https://www.zillow.com/homedetails/1925-N-Harvard-St-Arlington-VA-22201/12078307_zpid/,26.32333157863953
Townhouse for sale,Washington,DC,20001,814267,3500,,799000,,1842,3,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/1512-5th-St-NW-Washington-DC-20001/409808_zpid/,19.387309523809524
