title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Under Contract,Fairfax,VA,22030,562298,2395,,555000,,1708,6,"3 beds, 4.0 baths",https://www.zillow.com/homedetails/11644-Fairfax-Center-Woods-Trl-Fairfax-VA-22030/60391996_zpid/,19.56499652052888
House for sale,Oakton,VA,22124,1452099,5425,,1700000,,6550,2,"6 beds, 5.0 baths",https://www.zillow.com/homedetails/3700-Waples-Crest-Ct-Oakton-VA-22124/59787923_zpid/,22.305668202764977
Home for sale,Fairfax,VA,22030,546767,2000,,45000,,1180,65,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/11221-Wilburn-Dr-Fairfax-VA-22030/2098311021_zpid/,22.781958333333332
Under Contract,Fairfax,VA,22033,0,2000,,339000,,1227,6,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/12481-Hayes-Ct-UNIT-104-Fairfax-VA-22033/51794476_zpid/,14.125
Under Contract,Fairfax,VA,22033,441533,2250,,435000,,1556,14,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/4491-Beacon-Grove-Cir-A-Fairfax-VA-22033/82742509_zpid/,16.353074074074073
Condo for sale,Fairfax,VA,22030,344237,1895,,329900,,1057,12,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/3851-Aristotle-Ct-1206-Fairfax-VA-22030/65732978_zpid/,15.137950747581355
House for sale,Arlington,VA,22202,1207960,4500,,1299000,,2452,0,"4 beds, 4.0 baths",https://www.zillow.com/homedetails/1727-Army-Navy-Dr-Arlington-VA-22202/12106973_zpid/,22.369629629629628
Condo for sale,Arlington,VA,22202,519901,2300,,519900,,1254,49,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/1515-S-Arlington-Ridge-Rd-UNIT-202-Arlington-VA-22202/82555209_zpid/,18.83699275362319
Condo for sale,Arlington,VA,22202,257439,1500,,255000,,660,29,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1300-Army-Navy-Dr-APT-1020-Arlington-VA-22202/12105614_zpid/,14.302166666666666
Under Contract,Arlington,VA,22204,630052,2695,,600000,,1584,6,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/957-S-Rolfe-St-2-Arlington-VA-22204/12093965_zpid/,19.482127396413112
